name,RA,Dec,TOI,vmag,epoch,epoch_uncertainty,period,period_uncertainty,duration,comments,depth,disposition,priority
"TIC 67646988.01",09:51:04.45,35:58:06.8,1779.01,12.4,2459633.119867,,1.8817191,0.0000009,1.236,"LP 261-75 b; BD from Irwin et al. 2018 with measured mass (updated 2022-12-14)",99.27,KP,5
"TIC 99834717.01",11:00:40.13,64:57:49.84,1780.01,12.2,2459632.745042,,1.7063264,0.0000011,1.359,"KPS-1 b (updated 2022-12-14)",10.98,KP,5
"TIC 137881699.01",10:02:17.43,53:57:02.97,1781.01,12.5,2459633.496924,,2.9720774,0.0000089,4.41,"HAT-P-66 (updated 2022-12-14)",6.44,KP,5
"TIC 160045097.01",14:12:18.91,74:24:42.45,1782.01,11.3,2459635.737444,,4.9877056237819,0.000010248703,2.27691074222847,"potential multi (updated 2023-06-16)",1.19,PC,1
"TIC 160045097.02",14:12:18.91,74:24:42.45,1782.02,11.3,2459632.816808,,1.82902939880296,0.000006309852,1.66790977219127,"TOI 1782.02; potential multi (updated 2023-06-16)",0.70,PC,2
"TIC 160045097.03",14:12:18.91,74:24:42.45,1782.03,11.3,2459625.059505,,18.7559764648518,0.00010186187,2.55507050354788,"new candidate in potential multi; low SNR (updated 2023-06-16)",1.51,PC,1
"TIC 229938290.01",19:10:43.44,64:09:13.18,1783.01,9.3,2458871.091166,,1.41986588683862,0.0002172002,1.30584973473734,"Scattered light; shoulder on egress; check bright neighbor (TIC 1718009391). (updated 2022-12-14)",0.47,PC,2
"TIC 241196395.01",10:14:11.92,29:05:07.89,1784.01,9.6,2459633.75904,,2.0937563,0.0000073,0.433,"V-shaped; TFOP SB1/APC (updated 2022-12-14)",1.25,APC,3
"TIC 230386259.01",19:02:54.85,63:56:55.86,1785.01,9.7,2459944.890087,,11.0023133,0.0000842,5.305,"evolved variable host (updated 2023-03-03)",0.30,PC,3
"TIC 86280613.01",09:26:53.06,61:41:56.39,1786.01,9.5,2458851.5904,,9.5727,0.00044,2.507,"v shaped (updated 2022-12-14)",3.43,FP,5
"TIC 372730331.01",10:09:19.31,39:09:44.68,1787.01,10.4,2459627.995561,,8.7046669,0.0000096,2.58,"large for insolation; v-shaped; likely EB (updated 2022-12-14)",9.66,PC,3
"TIC 450327768.01",10:40:55.01,35:54:48.07,1788.01,10.2,2458875.04671,,5.34326,0.00028,1.426," (updated 2022-12-14)",6.98,FP,5
"TIC 172518755.01",09:30:58.42,26:32:23.98,1789.01,9.2,2459630.911267,,3.20868893481646,0.000024237135,2.24213290315313,"TOI-1789 b (updated 2022-12-14)",2.58,CP,3
"TIC 310981412.01",10:45:42.67,69:12:02.81,1790.01,10.3,2458684.16048,,9.62517,0.00067,3.725,"2.3 sigma odd-even (updated 2022-12-14)",0.54,FA,5
"TIC 233684293.01",17:23:03.09,63:06:38.67,1791.01,9.1,2459658.579318,,48.4788764,0.0034167,8.563,"weak shape with 8 events; likely SV (updated 2022-12-14)",0.32,FA,5
